"p_sys_id","p_lic_cert_sk","p_lic_cert_num","p_lic_cert_cd","p_lic_cert_ind_cd","p_lic_cert_beg_dt","p_lic_cert_end_dt","p_lic_rstrct_cd","p_lic_vrfy_ind","p_lic_cert_agcy_cd","p_lic_prmt_id","p_lic_cert_state_cd","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900179","552219","RZ-DU-57276","L","L","16-OCT-21","02-NOV-25","N","Y","006","1000035","IA","46","SYSTEM","30-DEC-25 11.41.34.510430000 PM","SYSTEM","29-DEC-25 04.12.18.510430000 AM"
"900185","552220","DV-PI-48269","L","L","20-JUN-86","18-AUG-86","N","Y","098","1000036","HI","40","SYSTEM","05-JAN-26 02.00.26.511380000 AM","SYSTEM","13-DEC-25 04.49.33.511380000 AM"
"900175","552221","GS-BB-05210","L","L","25-JUL-51","11-OCT-51","N","Y","098","1000037","MD","51","SYSTEM","23-APR-26 11.44.16.513652000 PM","SYSTEM","30-MAR-26 09.07.53.513652000 PM"
"900187","552222","FJ-LU-99161","L","L","04-OCT-53","31-DEC-56","N","Y","098","1000038","AZ","43","SYSTEM","06-FEB-26 09.23.01.515710000 PM","SYSTEM","04-FEB-26 11.59.21.515710000 AM"
"900186","552223","HU-ZO-35934","L","L","25-JUL-91","24-APR-94","N","Y","098","1000039","DC","49","SYSTEM","21-DEC-25 10.27.19.517715000 PM","SYSTEM","01-DEC-25 02.56.42.517715000 PM"
"900172","552224","WB-GP-57763","L","L","07-AUG-49","14-OCT-52","N","Y","006","1000040","ND","50","SYSTEM","16-MAR-26 04.43.32.519708000 AM","SYSTEM","21-FEB-26 11.29.02.519708000 PM"
"900162","552225","AM-RT-93029","L","L","11-DEC-87","20-AUG-89","N","Y","098","1000041","VT","49","SYSTEM","06-DEC-25 10.23.51.520725000 AM","SYSTEM","24-NOV-25 12.36.31.520725000 AM"
"900152","552226","MR-TI-73615","L","L","09-JUL-70","28-NOV-71","N","Y","006","1000042","IA","35","SYSTEM","23-AUG-25 03.11.45.521724000 PM","SYSTEM","22-AUG-25 01.10.11.521724000 PM"
"900160","552227","HI-TW-27441","L","L","31-DEC-75","25-APR-78","N","Y","098","1000043","PR","38","SYSTEM","01-JUL-26 08.49.13.521724000 AM","SYSTEM","28-JUN-26 07.52.21.521724000 AM"
"900180","552228","DD-JN-98152","L","L","15-JAN-22","24-APR-24","N","Y","098","1000044","AL","35","SYSTEM","21-MAR-26 05.52.51.522932000 AM","SYSTEM","12-MAR-26 01.55.42.522932000 PM"
"900164","552229","XU-CF-23773","L","L","17-OCT-49","17-MAR-51","N","Y","006","1000045","NH","42","SYSTEM","03-JAN-26 05.26.57.523943000 PM","SYSTEM","13-DEC-25 10.26.18.523943000 AM"
"900176","552230","SM-NU-66274","L","L","24-FEB-82","28-JUN-85","N","Y","098","1000046","OK","51","SYSTEM","05-OCT-25 12.07.15.524941000 PM","SYSTEM","28-SEP-25 04.31.11.524941000 AM"
"900178","552231","JX-EE-88786","L","L","31-JAN-73","11-SEP-77","N","Y","006","1000047","MO","40","SYSTEM","05-MAY-26 08.21.45.525944000 AM","SYSTEM","10-APR-26 09.12.20.525944000 AM"
"900191","552232","KN-OG-79379","L","L","26-DEC-33","18-AUG-34","N","Y","098","1000048","TN","53","SYSTEM","06-OCT-25 03.22.33.525944000 PM","SYSTEM","08-SEP-25 02.00.05.525944000 PM"
"900154","552233","ZD-MS-65767","L","L","27-JUN-82","05-JAN-86","N","Y","006","1000049","OK","49","SYSTEM","23-SEP-25 01.54.11.527874000 AM","SYSTEM","18-SEP-25 09.45.19.527874000 PM"
"900157","552234","OT-ZW-55745","L","L","12-APR-26","06-NOV-30","N","Y","098","1000050","AZ","33","SYSTEM","07-FEB-26 09.19.04.528872000 PM","SYSTEM","05-FEB-26 05.24.31.528872000 AM"
