"p_sys_id","p_qstnr_seq_num","p_qstnr_fed_prog_nam","p_qstnr_first_nam","p_qstnr_last_nam","p_qstnr_mi_nam","p_qstnr_sfx_nam","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900199","217","St. Jude Medical Center","Sanford Hospital","Methodist Lab Services","","","23","SYSTEM","12-DEC-25 10.58.09.916609000 PM","SYSTEM","12-NOV-25 06.25.05.916609000 AM"
"900190","218","St. Jude Lab Services","Trinity Specialty Clinic","Sanford Specialty Clinic","","","30","SYSTEM","30-AUG-25 05.10.23.916609000 AM","SYSTEM","04-AUG-25 11.54.06.916609000 AM"
"900184","219","Methodist Specialty Clinic","St. Jude Specialty Clinic","Trinity Health System","","","22","SYSTEM","07-FEB-26 09.00.49.917641000 PM","SYSTEM","12-JAN-26 06.56.12.917641000 PM"
"900181","220","St. Jude Dialysis Center","Trinity Physicians Group","Mayo Clinic Dialysis Center","","","30","SYSTEM","18-JAN-26 10.05.10.918610000 PM","SYSTEM","27-DEC-25 05.51.37.918610000 PM"
"900165","221","Mayo Clinic Health System","St. Jude Hospital","Midwest Dialysis Center","","","22","SYSTEM","27-AUG-25 12.17.44.919616000 PM","SYSTEM","30-JUL-25 06.41.43.919616000 AM"
"900156","222","Centura Specialty Clinic","Midwest Physicians Group","Valley Care Dialysis Center","","","24","SYSTEM","06-DEC-25 01.14.19.920612000 AM","SYSTEM","11-NOV-25 11.52.31.920612000 AM"
"900197","223","Kaiser Medical Center","Methodist Hospital","Trinity Hospital","","","28","SYSTEM","19-MAR-26 08.53.08.921615000 PM","SYSTEM","17-MAR-26 03.02.33.921615000 PM"
"900183","224","Trinity Medical Center","St. Jude Physicians Group","Valley Care Dialysis Center","","","32","SYSTEM","12-OCT-25 07.32.25.922027000 PM","SYSTEM","22-SEP-25 05.00.23.922027000 AM"
"900151","225","Mayo Clinic Specialty Clinic","Methodist Health System","Midwest Medical Center","","","27","SYSTEM","23-OCT-25 03.20.19.923075000 AM","SYSTEM","10-OCT-25 09.05.32.923075000 PM"
"900192","226","St. Jude Specialty Clinic","Kaiser Specialty Clinic","Mayo Clinic Physicians Group","","","30","SYSTEM","06-JUL-26 06.20.29.924068000 AM","SYSTEM","19-JUN-26 10.39.35.924068000 AM"
"900191","227","Mayo Clinic Hospital","Kaiser Lab Services","Kaiser Lab Services","","","28","SYSTEM","14-DEC-25 10.02.04.925077000 AM","SYSTEM","26-NOV-25 01.35.59.925077000 AM"
"900155","228","Mercy Hospital","Kaiser Hospital","Valley Care Specialty Clinic","","","30","SYSTEM","07-DEC-25 11.32.10.926077000 AM","SYSTEM","27-NOV-25 01.02.31.926077000 PM"
"900170","229","Methodist Medical Center","Mercy Dialysis Center","Methodist Health System","","","24","SYSTEM","11-MAY-26 03.54.28.927068000 PM","SYSTEM","05-MAY-26 11.20.13.927068000 PM"
"900186","230","Mayo Clinic Lab Services","St. Jude Lab Services","Centura Dialysis Center","","","32","SYSTEM","18-OCT-25 10.41.43.928029000 AM","SYSTEM","22-SEP-25 07.09.37.928029000 PM"
"900154","231","Valley Care Hospital","Sanford Health System","Centura Hospital","","","27","SYSTEM","26-JUN-26 06.51.16.929043000 AM","SYSTEM","29-MAY-26 09.26.35.929043000 AM"
"900153","232","Methodist Hospital","Trinity Dialysis Center","Mercy Hospital","","","26","SYSTEM","05-NOV-25 01.58.47.930031000 AM","SYSTEM","30-OCT-25 09.48.47.930031000 AM"
"900196","233","Centura Hospital","Mayo Clinic Physicians Gr","Mayo Clinic Dialysis Center","","","31","SYSTEM","19-JUL-26 01.55.23.931029000 PM","SYSTEM","26-JUN-26 09.10.24.931029000 AM"
"900167","234","Mercy Medical Center","Kaiser Physicians Group","Valley Care Specialty Clinic","","","24","SYSTEM","14-DEC-25 01.17.11.932028000 PM","SYSTEM","15-NOV-25 04.43.47.932028000 AM"
"900193","235","Centura Health System","St. Jude Physicians Group","Kaiser Medical Center","","","30","SYSTEM","17-DEC-25 11.08.25.933245000 PM","SYSTEM","20-NOV-25 10.57.12.933245000 AM"
"900185","236","Valley Care Dialysis Center","St. Jude Physicians Group","Kaiser Medical Center","","","28","SYSTEM","30-MAR-26 03.37.00.934357000 AM","SYSTEM","14-MAR-26 12.59.16.934357000 PM"
"900152","237","Mercy Specialty Clinic","Centura Specialty Clinic","Methodist Lab Services","","","25","SYSTEM","06-MAR-26 06.51.00.934906000 PM","SYSTEM","17-FEB-26 10.18.22.934906000 PM"
"900159","238","Centura Dialysis Center","Valley Care Medical Cente","Kaiser Dialysis Center","","","21","SYSTEM","07-JUN-26 02.51.28.936013000 PM","SYSTEM","05-JUN-26 01.31.13.936013000 AM"
"900157","239","Centura Lab Services","Midwest Lab Services","Methodist Hospital","","","24","SYSTEM","18-JAN-26 07.33.56.937127000 AM","SYSTEM","07-JAN-26 04.55.05.937127000 PM"
"900158","240","Trinity Dialysis Center","Centura Health System","Midwest Physicians Group","","","28","SYSTEM","18-NOV-25 06.33.41.938260000 PM","SYSTEM","09-NOV-25 11.30.38.938260000 PM"
"900180","241","Valley Care Specialty Clinic","St. Jude Hospital","Valley Care Health System","","","27","SYSTEM","12-MAR-26 10.38.42.939376000 AM","SYSTEM","15-FEB-26 04.07.04.939376000 PM"
"900194","242","Sanford Physicians Group","Trinity Physicians Group","Midwest Medical Center","","","30","SYSTEM","03-OCT-25 10.10.35.939939000 PM","SYSTEM","18-SEP-25 06.09.09.939939000 AM"
"900166","243","Midwest Lab Services","Centura Health System","Sanford Lab Services","","","27","SYSTEM","20-APR-26 03.22.21.940501000 PM","SYSTEM","10-APR-26 09.57.09.940501000 PM"
"900169","244","Trinity Specialty Clinic","Centura Physicians Group","Mayo Clinic Health System","","","25","SYSTEM","23-NOV-25 01.51.11.941551000 AM","SYSTEM","27-OCT-25 03.49.13.941551000 PM"
"900187","245","Sanford Medical Center","Kaiser Physicians Group","Mayo Clinic Specialty Clinic","","","29","SYSTEM","17-APR-26 08.56.23.942568000 PM","SYSTEM","17-APR-26 05.52.02.942568000 AM"
"900164","246","St. Jude Health System","Centura Hospital","St. Jude Physicians Group","","","26","SYSTEM","18-JAN-26 09.46.24.943786000 AM","SYSTEM","02-JAN-26 12.03.24.943786000 PM"
"900163","247","Sanford Lab Services","Kaiser Hospital","Valley Care Lab Services","","","28","SYSTEM","07-SEP-25 02.14.08.945745000 PM","SYSTEM","06-SEP-25 05.15.05.945745000 AM"
"900176","248","Sanford Hospital","Methodist Specialty Clini","St. Jude Physicians Group","","","29","SYSTEM","26-MAY-26 02.57.06.947777000 PM","SYSTEM","28-APR-26 11.15.31.947777000 AM"
