"p_qsp_prov_recip_seq_num","p_recip_first_nam","p_recip_last_nam","p_recip_rel_cd","l_hibernate_ver_num","g_aud_add_ts","g_aud_add_user_id","g_aud_ts","g_aud_user_id","p_sys_id"
"15","Methodist Physicians Grou","St. Jude Dialysis Center","2","2","15-FEB-26 12.10.16.840736000 AM","SYSTEM","18-FEB-26 06.22.19.840736000 AM","SYSTEM","900182"
"16","Methodist Health System","Kaiser Medical Center","2","3","24-APR-26 11.47.50.841741000 PM","SYSTEM","25-MAY-26 10.52.56.841741000 AM","SYSTEM","900173"
"17","Mayo Clinic Specialty Cli","Valley Care Hospital","1","2","07-JUN-26 08.38.21.841741000 AM","SYSTEM","01-JUL-26 06.29.27.841741000 PM","SYSTEM","900191"
"18","Centura Lab Services","Trinity Hospital","1","2","01-NOV-25 03.48.24.842740000 PM","SYSTEM","06-NOV-25 04.48.24.842740000 PM","SYSTEM","900174"
"19","Valley Care Specialty Cli","Mayo Clinic Medical Center","2","2","22-JUN-26 09.13.52.842740000 PM","SYSTEM","10-JUL-26 08.37.22.842740000 PM","SYSTEM","900199"
"20","Sanford Specialty Clinic","Trinity Medical Center","2","3","24-JUL-25 11.25.03.843961000 PM","SYSTEM","31-JUL-25 09.16.52.843961000 AM","SYSTEM","900172"
"21","Midwest Lab Services","Trinity Lab Services","2","2","08-SEP-25 01.03.41.844899000 PM","SYSTEM","09-OCT-25 11.19.53.844899000 AM","SYSTEM","900187"
"22","Midwest Dialysis Center","Midwest Hospital","1","2","02-NOV-25 02.02.49.845944000 PM","SYSTEM","02-NOV-25 09.07.56.845944000 PM","SYSTEM","900175"
"23","Centura Dialysis Center","Mayo Clinic Physicians Group","2","3","31-OCT-25 02.44.17.845944000 AM","SYSTEM","25-NOV-25 08.49.05.845944000 AM","SYSTEM","900197"
"24","Mayo Clinic Lab Services","Methodist Physicians Group","2","2","15-SEP-25 08.28.59.846954000 AM","SYSTEM","25-SEP-25 04.58.10.846954000 AM","SYSTEM","900166"
"25","Trinity Dialysis Center","Mercy Dialysis Center","1","2","10-DEC-25 12.49.32.846954000 AM","SYSTEM","24-DEC-25 07.32.23.846954000 AM","SYSTEM","900159"
"26","Methodist Lab Services","Centura Health System","2","3","04-FEB-26 02.21.41.847966000 PM","SYSTEM","04-MAR-26 08.47.53.847966000 AM","SYSTEM","900161"
"27","Mayo Clinic Health System","Centura Physicians Group","2","2","07-JAN-26 09.27.38.847966000 AM","SYSTEM","12-JAN-26 02.16.45.847966000 PM","SYSTEM","900162"
"28","Valley Care Medical Cente","Trinity Health System","1","3","21-OCT-25 06.59.48.848967000 AM","SYSTEM","05-NOV-25 07.59.33.848967000 AM","SYSTEM","900183"
"29","Trinity Lab Services","Mayo Clinic Specialty Clinic","2","2","12-SEP-25 05.14.18.848967000 PM","SYSTEM","22-SEP-25 09.10.59.848967000 AM","SYSTEM","900181"
"30","Centura Health System","Methodist Dialysis Center","1","2","18-JAN-26 11.21.26.849965000 AM","SYSTEM","24-JAN-26 12.51.07.849965000 AM","SYSTEM","900193"
"31","Trinity Health System","Sanford Physicians Group","1","3","31-DEC-25 03.19.03.849965000 PM","SYSTEM","08-JAN-26 11.23.01.849965000 PM","SYSTEM","900185"
"32","Kaiser Specialty Clinic","Mercy Medical Center","2","3","03-MAR-26 03.05.28.850961000 PM","SYSTEM","29-MAR-26 06.16.34.850961000 PM","SYSTEM","900179"
"33","Mercy Specialty Clinic","Valley Care Health System","1","2","24-FEB-26 11.39.35.850961000 PM","SYSTEM","13-MAR-26 09.28.08.850961000 AM","SYSTEM","900165"
"34","Midwest Specialty Clinic","Mayo Clinic Dialysis Center","1","3","07-MAY-26 11.54.43.851962000 PM","SYSTEM","11-MAY-26 03.31.54.851962000 AM","SYSTEM","900180"
"35","Kaiser Health System","Mayo Clinic Hospital","1","3","27-JUL-25 01.34.32.851962000 PM","SYSTEM","16-AUG-25 10.34.59.851962000 AM","SYSTEM","900196"
"36","Mercy Lab Services","St. Jude Health System","1","3","11-NOV-25 10.09.55.853175000 PM","SYSTEM","14-NOV-25 07.41.22.853175000 AM","SYSTEM","900178"
"37","Sanford Dialysis Center","Centura Lab Services","2","3","29-JAN-26 08.29.50.853175000 AM","SYSTEM","25-FEB-26 08.13.13.853175000 AM","SYSTEM","900184"
"38","St. Jude Dialysis Center","Kaiser Physicians Group","2","3","08-FEB-26 08.31.17.854180000 PM","SYSTEM","08-MAR-26 12.04.44.854180000 AM","SYSTEM","900152"
"39","St. Jude Health System","Sanford Specialty Clinic","2","3","21-MAR-26 12.42.58.854180000 PM","SYSTEM","27-MAR-26 11.21.14.854180000 AM","SYSTEM","900163"
"40","Centura Hospital","Midwest Specialty Clinic","1","2","03-MAR-26 02.41.17.855177000 PM","SYSTEM","03-MAR-26 08.23.49.855177000 PM","SYSTEM","900158"
"41","Trinity Medical Center","Methodist Health System","2","3","03-SEP-25 12.44.24.856124000 AM","SYSTEM","08-SEP-25 08.19.06.856124000 PM","SYSTEM","900153"
"42","Trinity Specialty Clinic","Midwest Dialysis Center","1","3","01-FEB-26 05.03.34.856124000 PM","SYSTEM","12-FEB-26 07.10.02.856124000 AM","SYSTEM","900155"
"43","Sanford Physicians Group","Methodist Hospital","2","2","08-APR-26 01.39.29.857167000 PM","SYSTEM","07-MAY-26 02.21.11.857167000 PM","SYSTEM","900190"
"44","Mayo Clinic Hospital","Trinity Physicians Group","1","2","04-JUN-26 01.08.09.857167000 PM","SYSTEM","15-JUN-26 02.47.29.857167000 PM","SYSTEM","900195"
"45","Valley Care Lab Services","Methodist Lab Services","1","3","03-AUG-25 07.05.45.858166000 PM","SYSTEM","31-AUG-25 09.20.01.858166000 AM","SYSTEM","900151"
"46","Midwest Hospital","Sanford Lab Services","1","3","09-APR-26 12.33.16.858166000 PM","SYSTEM","30-APR-26 12.59.27.858166000 PM","SYSTEM","900186"
"47","Mayo Clinic Medical Cente","Midwest Medical Center","1","2","11-JAN-26 06.07.11.859176000 PM","SYSTEM","02-FEB-26 08.27.17.859176000 PM","SYSTEM","900177"
"48","Methodist Dialysis Center","Mayo Clinic Health System","1","3","17-FEB-26 11.46.48.859176000 AM","SYSTEM","23-FEB-26 09.26.55.859176000 AM","SYSTEM","900170"
"49","Kaiser Lab Services","Mercy Lab Services","2","2","23-MAR-26 06.37.07.860177000 AM","SYSTEM","20-APR-26 06.04.02.860177000 AM","SYSTEM","900176"
"50","Midwest Physicians Group","Valley Care Dialysis Center","2","2","07-APR-26 06.38.35.861113000 AM","SYSTEM","08-APR-26 08.28.48.861113000 AM","SYSTEM","900200"
"51","Sanford Hospital","St. Jude Lab Services","2","3","17-MAR-26 04.50.41.861113000 PM","SYSTEM","08-APR-26 07.07.04.861113000 AM","SYSTEM","900192"
