"p_if_therap_sk","p_sys_id","p_curr_alt_id","p_npi_num","p_ty_cd","p_org_nam","p_first_nam","p_last_nam","p_txnmy_cd","p_tax_id","g_phone_num","g_phone_usg_ty_cd","p_adr_line1","p_adr_line2","p_city_nam","p_us_state_cd","p_zip_cd","p_enrol_stat_beg_dt","p_enrol_stat_end_dt","p_indiv_grp_cd","p_if_therap_resp_clob","p_if_therap_resp_cd","p_if_therap_prcs_ind","l_hibernate_ver_num","g_aud_add_user_id","g_aud_ts","g_aud_user_id","g_aud_add_ts"
"39","900195","1454011","2360868568","03","","Methodist Medical Center","Methodist Lab Services","2084N0400X","101578959","3395577295","W","608 Jenkins Crossing","","Amyland","RI","46503","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","17-NOV-25 03.29.33.380630000 AM","SYSTEM","27-OCT-25 12.21.40.380630000 AM"
"40","900160","1453873","1976942080","01","Mercy Lab Services","","St. Jude Hospital","261QP2300X","519286226","3397466610","W","90003 Burgess Manors","","Evansview","AS","13605","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","27-NOV-25 06.46.42.381635000 AM","SYSTEM","08-NOV-25 08.46.43.381635000 AM"
"41","900192","1453450","2533836245","03","Midwest Physicians Group","","Mercy Physicians Group","207RC0000X","181766725","4607504536","W","62951 Henderson Overpass","","North Donald","ND","19089","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","20-SEP-25 05.41.01.383929000 PM","SYSTEM","16-SEP-25 07.40.50.383929000 AM"
"42","900186","1453555","2630047910","04","","","","2084N0400X","767219154","1774665744","W","613 Amber Plaza","","Heatherview","NC","84644","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","28-AUG-25 04.25.34.384935000 AM","SYSTEM","02-AUG-25 01.32.59.384935000 AM"
"43","900191","1453971","1780474411","03","","","","208D00000X","090691564","2242487033","W","807 Pamela Locks Suite 854","","Bradleyview","IL","38019","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","24-AUG-25 03.05.53.385934000 PM","SYSTEM","04-AUG-25 02.42.22.385934000 PM"
"44","900199","1453803","1263040895","03","Mayo Clinic Hospital","","Methodist Dialysis Center","261QR1300X","154588080","5964951954","W","1686 Dustin Run","","Wuberg","NE","98008","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","19-JUL-26 10.23.06.387555000 PM","SYSTEM","17-JUL-26 07.47.12.387555000 AM"
"45","900166","1454120","2299226169","03","Methodist Dialysis Center","St. Jude Hospital","","207RC0000X","944304526","6345839891","W","470 Debra Isle","","Carolmouth","KY","86132","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","04-JUL-26 10.49.50.388609000 AM","SYSTEM","08-JUN-26 10.34.14.388609000 PM"
"46","900180","1453476","2502453493","05","St. Jude Specialty Clinic","Sanford Dialysis Center","","208D00000X","849376748","0012254413","W","872 Whitney Village Suite 960","","East Kimberlyville","LA","58666","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","16-OCT-25 11.51.26.391195000 AM","SYSTEM","28-SEP-25 11.31.47.391195000 PM"
"47","900156","1454174","1455298202","04","","St. Jude Dialysis Center","","261QP2300X","181718820","1521492361","W","934 Olsen Views Suite 144","","Lake Jamesmouth","HI","99235","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","29-MAY-26 10.34.38.392064000 AM","SYSTEM","01-MAY-26 09.47.22.392064000 PM"
"48","900172","1454226","2773885852","01","","Centura Medical Center","","261QP2300X","255442371","9638031681","W","972 Parks Gardens","","South Erin","IL","13873","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","16-JUN-26 11.46.48.394110000 PM","SYSTEM","29-MAY-26 07.48.54.394110000 AM"
"49","900159","1453441","2790482089","01","Sanford Hospital","","","208D00000X","248124879","9985113376","W","321 Mary Lock Suite 669","","Port James","MT","94407","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","02-APR-26 02.51.29.397120000 PM","SYSTEM","21-MAR-26 01.53.42.397120000 AM"
"50","900187","1453583","2940007877","02","Centura Medical Center","","","207RC0000X","264193357","5217022446","W","1351 Amber Mountain","","Annberg","MI","13589","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","04-MAR-26 11.52.26.400112000 PM","SYSTEM","08-FEB-26 09.51.01.400112000 AM"
"51","900174","1454223","2855595718","02","St. Jude Health System","","","207RC0000X","880247012","9565678245","W","314 Steven Point Suite 665","","West Travis","PA","90549","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","07-JAN-26 05.46.55.402110000 PM","SYSTEM","05-JAN-26 02.57.32.402110000 PM"
"52","900194","1453838","1175627029","04","Mercy Hospital","Midwest Physicians Group","","207RC0000X","852215976","2376118516","W","3923 Johnson Ville","","Port Yvonnemouth","CA","28937","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","05-AUG-26 04.25.53.404358000 AM","SYSTEM","12-JUL-26 03.57.01.404358000 PM"
"53","900200","1453636","1252991116","03","","Centura Health System","","207Q00000X","835096225","9312288866","W","26906 Tanya Ridge Apt. 459","","Timothyview","FL","80734","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","10-MAR-26 11.58.00.405350000 AM","SYSTEM","23-FEB-26 01.57.53.405350000 AM"
"54","900198","1453429","1271356374","03","","Valley Care Medical Center","Trinity Dialysis Center","2084N0400X","501514997","9206090586","W","86343 Marc Wall Apt. 673","","Wadeport","IA","80724","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","16-OCT-25 07.37.30.407361000 AM","SYSTEM","15-OCT-25 05.58.50.407361000 AM"
"55","900178","1453394","1008685293","03","Kaiser Hospital","Trinity Hospital","","2084N0400X","217000171","5223460556","W","8361 Jackson Springs","","Lake Gregorymouth","AZ","63588","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","05-SEP-25 02.26.56.408387000 PM","SYSTEM","22-AUG-25 07.41.11.408387000 PM"
"56","900154","1453581","2536611496","03","","Midwest Medical Center","","207Q00000X","481465325","8706917299","W","9864 Moore Throughway Apt. 901","","Port Diana","AR","48297","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","09-AUG-25 03.56.00.410362000 PM","SYSTEM","26-JUL-25 01.58.05.410362000 AM"
"57","900196","1453645","1069011959","03","Centura Health System","","","208D00000X","723766299","5293832204","W","98650 Ford Mill Suite 848","","East Kimberlyview","SD","23280","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","17-SEP-25 05.09.18.412680000 PM","SYSTEM","12-SEP-25 09.46.18.412680000 AM"
"58","900173","1454092","2860384611","02","Centura Lab Services","","","207RC0000X","522102933","1615465380","W","20709 Whitaker Highway","","Morganmouth","RI","26222","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","08-JUL-26 08.49.23.413670000 AM","SYSTEM","12-JUN-26 09.31.09.413670000 PM"
"59","900188","1454150","2972503918","04","Sanford Dialysis Center","Trinity Specialty Clinic","Mercy Hospital","261QP2300X","097294749","7309742536","W","843 Wong Vista Apt. 300","","Port Karen","NE","74214","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","19-DEC-25 04.09.34.415668000 PM","SYSTEM","09-DEC-25 11.10.47.415668000 AM"
"60","900162","1454090","1598179921","05","","Kaiser Physicians Group","","261QP2300X","699209410","1305332601","W","991 Jonathon Ville","","Karenchester","MD","06928","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","06-JUN-26 02.07.23.417666000 PM","SYSTEM","13-MAY-26 11.24.42.417666000 PM"
"61","900151","1453587","1895992208","01","Trinity Physicians Group","Valley Care Physicians Group","","282N00000X","724966730","8633909220","W","1109 Franklin Vista Apt. 819","","Monroestad","MA","24585","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","23-FEB-26 07.31.11.418673000 PM","SYSTEM","10-FEB-26 01.22.42.418673000 AM"
"62","900170","1453479","1582259903","03","","","Midwest Health System","207Q00000X","686830122","2974839439","W","230 Jones Street Apt. 410","","Davidshire","OH","97612","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","07-JUN-26 08.55.58.420666000 AM","SYSTEM","25-MAY-26 10.43.18.420666000 AM"
"63","900165","1453987","2905588531","04","","","","261QR1300X","160801372","2899118271","W","382 David Camp","","Dawnview","TX","39619","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","06-MAR-26 10.32.01.422003000 PM","SYSTEM","06-MAR-26 04.05.47.422003000 PM"
"64","900152","1453743","1569851458","04","Kaiser Medical Center","Midwest Hospital","","207R00000X","357228950","0016819011","W","0530 Dunn Drive Apt. 139","","Phillipton","NV","78170","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","12-APR-26 11.20.24.423009000 AM","SYSTEM","14-MAR-26 02.31.59.423009000 PM"
"65","900155","1454193","1167512114","02","","","","282N00000X","914290372","9172005345","W","614 Lauren Park Suite 590","","Robertsshire","MN","82419","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","12-MAY-26 01.07.17.425007000 PM","SYSTEM","17-APR-26 06.35.17.425007000 AM"
"66","900169","1453402","1837694961","02","","","","261QP2300X","851993625","9136770974","W","58529 Martin Villages","","North Cheryl","TN","24441","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","02-OCT-25 01.42.31.426007000 AM","SYSTEM","06-SEP-25 11.24.50.426007000 PM"
"67","900193","1453456","1217072168","05","","Valley Care Lab Services","","282N00000X","060670241","0018629058","W","6171 Diana Path Suite 217","","North Stephanieland","AZ","65489","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","12-JAN-26 11.03.41.428007000 AM","SYSTEM","10-JAN-26 11.02.06.428007000 PM"
"68","900175","1453889","2984058042","04","","","","207RC0000X","189111394","1453729373","W","3974 Cynthia Glen","","Theodorefort","FL","57537","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","29-MAY-26 09.52.50.431002000 AM","SYSTEM","08-MAY-26 05.28.23.431002000 PM"
"69","900182","1453566","1451981926","02","","","","261QP2300X","773480167","6117154939","W","925 Hansen Parks Suite 996","","North Morganberg","UT","50470","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","07-MAY-26 04.53.18.432509000 PM","SYSTEM","21-APR-26 02.32.50.432509000 PM"
"70","900171","1453627","1824450120","04","Valley Care Hospital","Mercy Hospital","","282N00000X","733702640","3729041262","W","6948 Leslie Bypass","","New Jessicastad","GA","76784","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","22-FEB-26 12.14.34.434378000 PM","SYSTEM","19-FEB-26 03.04.50.434378000 AM"
"71","900184","1453810","1890364338","05","","Sanford Hospital","","282N00000X","482231166","3538163123","W","567 Ferguson Ramp Suite 526","","Elizabethside","WA","04299","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","30-NOV-25 09.11.41.436390000 AM","SYSTEM","31-OCT-25 05.43.08.436390000 AM"
"72","900167","1454178","2128987403","01","Mayo Clinic Lab Services","","","261QP2300X","826890571","0013754697","W","4520 Kaitlin Crossroad","","Carrollburgh","PR","52313","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","25-JAN-26 09.45.10.437396000 PM","SYSTEM","24-JAN-26 08.34.07.437396000 PM"
"73","900181","1454151","1149636601","04","Methodist Medical Center","","","207R00000X","279905342","3215222345","W","6754 Kelly Spurs","","Jenniferchester","FL","22050","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","06-JAN-26 06.25.34.439389000 AM","SYSTEM","10-DEC-25 10.48.44.439389000 PM"
"74","900153","1454189","1197430550","04","Mayo Clinic Health System","","Mayo Clinic Hospital","2084N0400X","024730106","8149589812","W","53591 Castro Village","","Alyssaview","PW","28888","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","18-JAN-26 12.17.55.440390000 PM","SYSTEM","11-JAN-26 10.59.40.440390000 AM"
"75","900168","1453612","2466325299","03","Midwest Medical Center","","","208D00000X","073073587","2869148030","W","335 Jacob Plains","","Spencermouth","GU","51519","01-OCT-13","31-DEC-99","I","{""providerInterfaceSK"":""1"",""status"":""SUCCESS"",""providerMedicaidID"":""1454242"",""errors"":[]}","S","Y","1","SYSTEM","02-SEP-25 10.16.53.442389000 PM","SYSTEM","17-AUG-25 11.32.49.442389000 AM"
"76","900197","1454233","1418666180","04","Valley Care Lab Services","","Mayo Clinic Physicians Group","2084N0400X","017185867","7316660675","W","9922 Knox Village Apt. 775","","East Denisemouth","IL","07640","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","13-MAR-26 11.09.43.443586000 PM","SYSTEM","27-FEB-26 03.21.03.443586000 PM"
"77","900158","1454058","1636109153","02","","","","261QR1300X","544990112","0012075621","W","870 Bryan Glen","","Davidfurt","NC","80911","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","09-FEB-26 02.08.48.446581000 PM","SYSTEM","11-JAN-26 03.51.13.446581000 PM"
"78","900176","1453830","1089510931","02","","Trinity Health System","","207RC0000X","256712667","8197304684","W","22387 Sandra Loaf Apt. 011","","Wilsonstad","TN","74343","01-OCT-13","31-DEC-99","G","{""providerInterfaceSK"":""28"",""status"":""SUCCESS"",""providerMedicaidID"":""1453389"",""errors"":[]}","S","Y","1","SYSTEM","12-OCT-25 02.43.32.449602000 PM","SYSTEM","28-SEP-25 07.02.30.449602000 AM"
