"p_rpt_ln_upd_sk","p_rec_type","p_iface_prcs_dt","p_success_ind","p_mmis_id","p_prov_nam","p_update_field_text","p_prev_dt","p_new_dt","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"567732","ML","09-JUL-26","Y","1494369","","St. Jude Dialysis Ce","31-DEC-26","08-JUL-38","0","SYSTEM","06-APR-26 01.43.51.342563000 AM"
"567733","ML","09-JUL-26","Y","1494370","","Mayo Clinic Health S","31-DEC-26","12-JUN-68","0","SYSTEM","03-FEB-26 06.42.29.342563000 AM"
"567734","ML","09-JUL-26","Y","1494371","","Kaiser Specialty Cli","31-DEC-26","25-FEB-97","0","SYSTEM","27-JUN-26 02.51.55.342563000 AM"
"567735","ML","09-JUL-26","Y","1494372","","Sanford Specialty Cl","31-DEC-26","09-FEB-22","0","SYSTEM","19-MAR-26 02.20.36.342563000 PM"
"567736","ML","09-JUL-26","Y","1494373","","Trinity Physicians G","31-DEC-26","10-MAY-61","0","SYSTEM","16-AUG-25 02.50.12.342563000 AM"
"567737","ML","09-JUL-26","Y","1494374","","Valley Care Hospital","31-DEC-26","27-JUN-50","0","SYSTEM","03-JUN-26 04.00.35.342563000 PM"
"567738","ML","09-JUL-26","Y","1494375","","Midwest Dialysis Cen","31-DEC-26","17-AUG-10","0","SYSTEM","12-APR-26 01.41.36.342563000 PM"
"567739","ML","09-JUL-26","Y","1494376","","St. Jude Hospital","31-DEC-26","15-OCT-60","0","SYSTEM","08-MAR-26 10.56.19.342563000 PM"
"567740","ML","09-JUL-26","Y","1494377","Dr. Morgan Raymond, MD","Trinity Lab Services","31-DEC-26","29-DEC-20","0","SYSTEM","10-DEC-25 06.32.13.343614000 AM"
"567741","ML","09-JUL-26","Y","1494378","Dr. Perry Hubbard, DO","Trinity Specialty Cl","31-DEC-26","19-SEP-95","0","SYSTEM","08-FEB-26 07.38.52.343614000 PM"
"567742","ML","09-JUL-26","Y","1494379","","Midwest Specialty Cl","31-DEC-26","11-MAR-07","0","SYSTEM","15-MAR-26 11.49.12.343614000 AM"
