"p_rpt_ln_de_err_sk","p_de_prov_id","p_de_nam","p_de_num","p_de_exp_dt","p_de_error_msg","p_de_prcs_dt","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"1857625","1476561","Centura Specialty Clinic","MB3480213","19-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","15-FEB-26 04.31.55.278490000 PM"
"1857626","1476562","St. Jude Hospital","MB3480213","10-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","28-DEC-25 12.29.15.279467000 PM"
"1857627","1476563","Centura Physicians Group","MB3480213","18-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","26-MAY-26 06.19.23.279467000 PM"
"1857628","1476564","Trinity Health System","FT0038693","05-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","02-MAR-26 05.11.39.280458000 PM"
"1857629","1476565","Sanford Lab Services","MB3480213","03-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","10-JUL-26 04.33.09.280458000 PM"
"1857630","1476566","Mercy Specialty Clinic","MB3480213","21-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","18-APR-26 08.35.48.280458000 AM"
"1857631","1476567","St. Jude Specialty Clinic","FT0038693","28-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","29-MAY-26 10.13.29.281452000 AM"
"1857632","1476568","Valley Care Lab Services","MB3480213","26-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","29-JUL-25 01.48.28.282099000 PM"
"1857633","1476569","Trinity Dialysis Center","MB3480213","24-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","10-MAY-26 07.57.49.282099000 AM"
"1857634","1476570","Mayo Clinic Medical Center","MB3480213","25-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","17-NOV-25 10.07.53.282099000 PM"
"1857635","1476571","Methodist Specialty Clinic","MB3480213","23-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","06-SEP-25 05.01.06.283167000 PM"
"1857636","1476572","Methodist Health System","FT0038693","20-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","22-NOV-25 03.31.56.283167000 PM"
"1857637","1476573","Mayo Clinic Health System","FT0038693","31-JUL-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","21-MAR-26 07.41.46.283167000 AM"
"1857638","1476574","Mercy Lab Services","FT0038693","31-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","19-SEP-25 09.56.40.284161000 AM"
"1857639","1476575","St. Jude Physicians Group","FT0038693","11-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","13-FEB-26 02.13.01.284161000 PM"
"1857640","1476576","Valley Care Health System","MB3480213","18-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","27-DEC-25 08.11.59.286170000 AM"
"1857641","1476577","Sanford Dialysis Center","FT0038693","02-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","29-JAN-26 04.43.36.287162000 PM"
"1857642","1476578","Midwest Medical Center","FT0038693","11-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","31-AUG-25 11.08.54.288164000 AM"
"1857643","1476579","Trinity Lab Services","FT0038693","04-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","13-MAY-26 04.27.40.289169000 AM"
"1857644","1476580","Midwest Dialysis Center","FT0038693","30-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","16-JUL-26 12.22.10.290168000 PM"
"1857645","1476581","Valley Care Dialysis Center","MB3480213","12-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","05-APR-26 11.05.26.292166000 AM"
"1857646","1476582","Mercy Dialysis Center","FT0038693","29-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","14-JAN-26 04.40.40.293433000 AM"
"1857647","1476583","Midwest Specialty Clinic","FT0038693","29-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","06-JUN-26 02.16.56.294443000 AM"
"1857648","1476584","Methodist Dialysis Center","MB3480213","05-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","19-JUL-26 11.44.22.295446000 AM"
"1857649","1476585","Kaiser Health System","MB3480213","31-JUL-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","11-MAR-26 02.09.23.297391000 AM"
"1857650","1476586","Midwest Lab Services","FT0038693","21-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","23-AUG-25 07.16.03.298432000 PM"
"1857651","1476587","Mercy Medical Center","MB3480213","20-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","28-JUL-25 10.48.06.299440000 PM"
"1857652","1476588","Centura Medical Center","FT0038693","11-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","02-APR-26 08.52.39.300445000 PM"
"1857653","1476589","Valley Care Hospital","FT0038693","02-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","06-APR-26 05.01.02.301447000 AM"
"1857654","1476590","Trinity Hospital","MB3480213","15-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","20-JUN-26 11.00.20.302686000 PM"
"1857655","1476591","Centura Dialysis Center","MB3480213","06-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","10-SEP-25 03.15.46.304739000 AM"
"1857656","1476592","Methodist Medical Center","MB3480213","16-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","28-APR-26 05.40.08.305740000 PM"
"1857657","1476593","Mayo Clinic Hospital","MB3480213","27-AUG-26","ND-MSG-02-8372-DEA-ON FILE NOT IN HE","10-MAR-26","0","SYSTEM","04-MAR-26 07.03.58.306743000 PM"
