"p_owner_tax_id","p_owner_busn_attn_nam","p_owner_dba_nam","p_owner_dob_dt","p_owner_first_nam","p_owner_last_nam","p_owner_mcare_id","p_owner_mid_nam","p_owner_sfx_nam","p_owner_ssn_num","p_owner_busn_nam","p_owner_title_nam","p_owner_ty_cd","p_owner_mcaid_id","p_state_or_cntry_of_birth_text","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts","p_owner_dtl_seq_num"
"465707721","","Trinity Dialysis Center","10-AUG-54","Sara","Adams","","Carla","","800733273","","Dr. Diane Mcintosh, ","I","","Kaiser Medical ","26","SYSTEM","30-SEP-25 01.35.50.038033000 AM","SYSTEM","21-SEP-25 09.33.37.038033000 AM","125"
"561670310","","","26-DEC-77","John","Braun","","Janice","","600427873","","","I","","Valley Care Phy","17","SYSTEM","09-AUG-25 05.24.54.038033000 PM","SYSTEM","28-JUL-25 04.24.20.038033000 PM","126"
"635664764","","Midwest Specialty Clinic","01-JAN-70","Allison","Ray","","","","377363126","","Dr. Shannon Williams","I","","Mercy Specialty","37","SYSTEM","27-APR-26 11.39.39.039031000 PM","SYSTEM","02-APR-26 07.53.55.039031000 AM","127"
"374066082","","","11-OCT-68","Lucas","Smith","","","","600551164","","","I","","Trinity Dialysi","40","SYSTEM","06-APR-26 04.05.13.039031000 AM","SYSTEM","08-MAR-26 06.35.35.039031000 PM","128"
"165842184","","Mercy Lab Services","09-FEB-54","Paul","Hart","","Frank","","866983402","","","I","","Mercy Health Sy","11","SYSTEM","19-MAY-26 12.31.50.040034000 AM","SYSTEM","30-APR-26 10.10.39.040034000 PM","129"
"579647099","","","25-NOV-62","Martin","Scott","","","","811400489","","","I","","Methodist Dialy","32","SYSTEM","12-SEP-25 09.46.56.040034000 AM","SYSTEM","07-SEP-25 04.16.21.040034000 AM","130"
"119644983","","","19-AUG-56","Kimberly","Parker","","","","750185007","","","I","","Sanford Physici","20","SYSTEM","01-JUL-26 10.52.42.041028000 PM","SYSTEM","16-JUN-26 06.55.25.041028000 PM","131"
"405067255","","","17-DEC-61","Mary","Bell","","Marisa","","901220452","","Dr. Kathryn Mack, NP","I","","Trinity Hospita","46","SYSTEM","05-JUN-26 12.24.03.041028000 PM","SYSTEM","20-MAY-26 11.12.42.041028000 AM","132"
"885399851","","Methodist Lab Services","21-APR-78","Kristina","Robinson","","Rachel","","557629901","","Dr. Antonio Braun, M","I","","Valley Care Hea","16","SYSTEM","21-JUN-26 03.21.25.042029000 PM","SYSTEM","28-MAY-26 10.44.36.042029000 PM","133"
"566936211","","","05-MAY-56","Victoria","Alvarado","","Bradley","","594958133","","Dr. Richard Vazquez,","I","","Mercy Dialysis ","36","SYSTEM","04-JUL-26 09.48.50.042029000 PM","SYSTEM","15-JUN-26 12.48.27.042029000 PM","134"
"181052079","","","19-AUG-60","Susan","Burton","","","","814979415","","Dr. Holly Russell, N","I","","St. Jude Hospit","33","SYSTEM","14-JUN-26 01.02.19.043210000 AM","SYSTEM","29-MAY-26 04.27.08.043210000 PM","135"
"790963557","","","14-NOV-74","Christina","Pena","","Nicole","","790611354","","","I","","Valley Care Hos","41","SYSTEM","18-NOV-25 12.15.22.043210000 AM","SYSTEM","26-OCT-25 07.34.32.043210000 PM","136"
"903882871","","","18-MAR-72","Seth","Wu","","","","588530709","","","I","","Midwest Dialysi","19","SYSTEM","12-JAN-26 05.06.35.044224000 AM","SYSTEM","12-DEC-25 12.02.44.044224000 PM","137"
"944311452","","","21-APR-68","Kathryn","Green","","","","342128958","","","I","","Midwest Hospita","42","SYSTEM","14-FEB-26 04.00.33.044224000 PM","SYSTEM","15-JAN-26 04.39.48.044224000 AM","138"
"973567712","","","07-FEB-67","Carlos","Stewart","","","","657145800","","","I","","Sanford Special","13","SYSTEM","09-NOV-25 10.09.19.044224000 AM","SYSTEM","13-OCT-25 08.55.42.044224000 AM","139"
"817491792","","","31-JAN-64","Caitlin","Perkins","","","","734441362","","Dr. Michael Flores, ","I","","Trinity Medical","22","SYSTEM","08-OCT-25 12.05.26.045294000 AM","SYSTEM","24-SEP-25 07.42.24.045294000 AM","140"
"416527513","","","09-NOV-74","Patrick","Rodriguez","","","","490096480","","","I","","Centura Medical","17","SYSTEM","09-DEC-25 12.02.32.046235000 AM","SYSTEM","08-NOV-25 02.49.18.046235000 AM","141"
"707338193","","Trinity Physicians Group","01-APR-67","Paula","Cook","","","","446103063","","Dr. Amy Gordon, RN","I","","Mercy Physician","22","SYSTEM","15-NOV-25 04.06.57.047280000 PM","SYSTEM","04-NOV-25 08.13.08.047280000 PM","142"
"364547711","","","16-AUG-56","Debbie","Bush","","Steven","","530029187","","Dr. Joshua Ware, RN","I","","Mayo Clinic Hea","41","SYSTEM","30-MAR-26 02.05.25.048281000 PM","SYSTEM","10-MAR-26 04.38.51.048281000 PM","143"
"534916981","","","10-APR-68","Elizabeth","Banks","","","","607729138","","Dr. Christopher Mend","I","","Valley Care Spe","37","SYSTEM","24-JUN-26 05.29.06.049286000 PM","SYSTEM","17-JUN-26 06.38.39.049286000 PM","144"
"659633868","","St. Jude Specialty Clinic","04-DEC-61","Bryan","Miller","","","","185436006","","","I","","Mercy Medical C","33","SYSTEM","12-AUG-25 06.08.29.049286000 AM","SYSTEM","09-AUG-25 07.26.58.049286000 AM","145"
"577997489","","","14-MAY-62","Russell","Peterson","","Leah","","978209242","","","I","","St. Jude Lab Se","25","SYSTEM","25-APR-26 09.26.13.050294000 PM","SYSTEM","04-APR-26 09.43.45.050294000 PM","146"
"556547338","","Methodist Medical Center","04-MAR-69","Michael","Morrison","","","","614062664","","Dr. Lisa Ray, NP","I","","Midwest Special","30","SYSTEM","11-OCT-25 03.31.21.051301000 AM","SYSTEM","03-OCT-25 12.59.00.051301000 AM","147"
"404532114","","","31-JUL-53","Tamara","Walker","","Charles","","110483239","","Dr. Kimberly Sheppar","I","","Valley Care Lab","14","SYSTEM","17-DEC-25 01.45.49.052296000 PM","SYSTEM","25-NOV-25 11.59.20.052296000 AM","148"
"646579778","","Mercy Medical Center","14-JUN-58","Darrell","Medina","","","","446539729","","Dr. Jason Reilly, MD","I","","Sanford Hospita","40","SYSTEM","08-MAY-26 01.39.07.052296000 PM","SYSTEM","20-APR-26 12.04.35.052296000 PM","149"
"694396943","","Mayo Clinic Specialty Clinic","26-MAY-52","Jerry","Anderson","","Richard","","358252568","","Dr. Randy Marquez, N","I","","St. Jude Specia","16","SYSTEM","15-APR-26 11.11.02.053538000 PM","SYSTEM","02-APR-26 09.23.03.053538000 PM","150"
"213925877","","","12-AUG-57","Jose","Combs","","","","712345330","","","I","","Valley Care Dia","21","SYSTEM","04-MAY-26 03.10.56.054540000 AM","SYSTEM","22-APR-26 10.42.15.054540000 AM","151"
"215485506","","Kaiser Lab Services","25-MAY-56","Jimmy","Brown","","George","","910198846","","","I","","Kaiser Health S","27","SYSTEM","15-JUN-26 08.16.02.054540000 AM","SYSTEM","22-MAY-26 12.13.38.054540000 PM","152"
"215333091","","Valley Care Dialysis Center","04-FEB-71","Barbara","Mejia","","","","866319964","","","I","","Centura Physici","18","SYSTEM","07-NOV-25 09.00.03.055518000 PM","SYSTEM","30-OCT-25 04.43.09.055518000 AM","153"
