"p_sys_id","p_faci_sk","p_faci_ty_cd","p_faci_beg_dt","p_faci_end_dt","p_faci_admin_nam","p_faci_fy_mo_num","l_hibernate_ver_num","g_aud_user_id","g_aud_ts","g_aud_add_user_id","g_aud_add_ts"
"900180","17349","NRS","17-JUN-77","31-AUG-79","Midwest Medical Center","1","38","SYSTEM","16-AUG-25 08.22.57.188311000 PM","SYSTEM","20-JUL-25 01.03.35.188311000 AM"
"900184","17350","PSY","14-APR-14","28-DEC-89","Centura Physicians Group","1","37","SYSTEM","21-FEB-26 08.23.13.189320000 AM","SYSTEM","11-FEB-26 01.35.45.189320000 AM"
"900175","17351","PSY","05-DEC-23","08-MAY-35","Centura Lab Services","1","37","SYSTEM","08-OCT-25 12.10.35.189320000 AM","SYSTEM","10-SEP-25 05.06.14.189320000 PM"
"900153","17352","NRS","25-MAY-71","28-NOV-71","Mercy Dialysis Center","1","38","SYSTEM","21-FEB-26 02.11.39.190313000 PM","SYSTEM","16-FEB-26 09.56.26.190313000 PM"
"900151","17353","NRS","05-APR-73","04-FEB-76","Centura Medical Center","1","36","SYSTEM","11-AUG-25 04.18.28.191308000 PM","SYSTEM","09-AUG-25 12.27.29.191308000 PM"
"900172","17354","PSY","29-DEC-52","07-DEC-61","Midwest Dialysis Center","1","38","SYSTEM","05-JUL-26 12.59.51.191308000 PM","SYSTEM","06-JUN-26 10.15.45.191308000 AM"
"900197","17355","PSY","11-FEB-84","08-MAR-88","St. Jude Medical Center","1","36","SYSTEM","14-NOV-25 06.48.09.192309000 AM","SYSTEM","17-OCT-25 02.23.28.192309000 AM"
"900182","17356","PSY","09-NOV-39","04-SEP-79","Mercy Specialty Clinic","1","36","SYSTEM","19-MAR-26 04.32.52.192718000 AM","SYSTEM","02-MAR-26 12.42.16.192718000 AM"
"900190","17357","NRS","14-JAN-14","10-JAN-31","Mayo Clinic Hospital","1","38","SYSTEM","06-MAY-26 06.13.50.192718000 AM","SYSTEM","03-MAY-26 01.07.57.192718000 PM"
"900200","17358","NRS","06-SEP-53","03-MAR-88","Midwest Health System","1","38","SYSTEM","04-APR-26 01.37.35.193769000 AM","SYSTEM","22-MAR-26 07.02.05.193769000 AM"
"900174","17359","NRS","21-SEP-48","16-JAN-51","Valley Care Dialysis Center","1","37","SYSTEM","21-OCT-25 01.46.42.194713000 PM","SYSTEM","19-OCT-25 04.34.13.194713000 PM"
"900199","17360","NRS","01-SEP-27","30-AUG-79","Methodist Hospital","1","38","SYSTEM","23-AUG-25 12.49.41.195723000 PM","SYSTEM","15-AUG-25 07.44.37.195723000 AM"
"900194","17361","PSY","14-OCT-66","21-NOV-81","Kaiser Health System","1","37","SYSTEM","16-OCT-25 07.37.49.195723000 PM","SYSTEM","28-SEP-25 01.02.39.195723000 PM"
"900167","17362","PSY","02-JAN-42","07-SEP-73","Midwest Physicians Group","1","38","SYSTEM","25-JUN-26 11.28.38.196712000 PM","SYSTEM","27-MAY-26 11.27.05.196712000 AM"
"900176","17363","PSY","30-JUN-40","02-AUG-41","Trinity Hospital","1","38","SYSTEM","25-APR-26 03.14.53.196712000 AM","SYSTEM","31-MAR-26 09.41.27.196712000 AM"
"900152","17364","NRS","18-MAR-55","28-NOV-58","Mayo Clinic Dialysis Center","1","37","SYSTEM","05-JUN-26 05.35.09.197711000 PM","SYSTEM","15-MAY-26 08.38.28.197711000 AM"
"900157","17365","NRS","31-DEC-90","15-APR-95","Mercy Medical Center","1","38","SYSTEM","08-JUN-26 05.41.11.198710000 PM","SYSTEM","07-JUN-26 09.00.18.198710000 AM"
"900170","17366","PSY","24-JUL-45","11-OCT-47","Mercy Lab Services","1","38","SYSTEM","12-MAY-26 02.03.47.198710000 AM","SYSTEM","08-MAY-26 11.45.52.198710000 AM"
"900171","17367","NRS","14-APR-77","26-JAN-78","St. Jude Health System","1","36","SYSTEM","12-MAY-26 12.50.42.199710000 PM","SYSTEM","25-APR-26 12.31.18.199710000 PM"
"900193","17368","NRS","05-MAR-53","07-JUN-62","Trinity Dialysis Center","1","36","SYSTEM","06-DEC-25 06.32.00.199710000 AM","SYSTEM","30-NOV-25 03.10.49.199710000 AM"
"900173","17369","NRS","12-MAY-45","21-NOV-72","Centura Hospital","1","37","SYSTEM","29-MAR-26 08.51.26.200710000 AM","SYSTEM","19-MAR-26 02.40.08.200710000 PM"
"900158","17370","PSY","08-OCT-51","16-DEC-52","Valley Care Health System","1","36","SYSTEM","20-DEC-25 05.47.34.201713000 AM","SYSTEM","16-DEC-25 06.51.42.201713000 PM"
"900168","17371","NRS","12-FEB-39","14-OCT-53","Sanford Physicians Group","1","36","SYSTEM","27-DEC-25 09.25.02.201713000 AM","SYSTEM","23-DEC-25 03.39.54.201713000 AM"
"900183","17372","NRS","22-FEB-27","16-FEB-30","Methodist Medical Center","1","37","SYSTEM","12-JAN-26 10.05.26.202711000 PM","SYSTEM","11-JAN-26 07.09.52.202711000 PM"
"900165","17373","NRS","12-JAN-64","08-DEC-80","Midwest Lab Services","1","37","SYSTEM","12-DEC-25 12.07.21.203478000 PM","SYSTEM","24-NOV-25 01.14.19.203478000 PM"
