"p_rpt_dot_extrt_sk","p_lic_cert_num","p_alt_id","p_alt_id_ty_cd","p_sort_nam","p_dob_dt","p_rpt_prcs_dt","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"24537","YF-ZA-52130","2079589885","ND","Shaw","12-JUL-83","05-APR-26","0","SYSTEM","26-AUG-25 06.20.15.187024000 AM"
"24538","BX-BM-60711","1596898449","ND","Patel","12-JUL-83","05-APR-26","0","SYSTEM","24-MAY-26 02.17.49.189095000 AM"
"24539","TR-NO-00853","2318869676","DEA","Smith","12-JUL-83","05-APR-26","0","SYSTEM","05-NOV-25 03.45.59.191083000 AM"
"24540","KO-YN-65263","2496347511","DEA","Hernandez","12-JUL-83","05-APR-26","0","SYSTEM","25-JUN-26 10.05.13.193438000 PM"
"24541","YT-YA-09655","1662833064","DEA","Edwards","12-JUL-83","05-APR-26","0","SYSTEM","14-DEC-25 11.57.23.195443000 AM"
"24542","ND-OT-00400","1448823462","ND","Perez","12-JUL-83","05-APR-26","0","SYSTEM","07-SEP-25 02.18.09.198418000 AM"
"24543","ZW-QJ-14487","1296991718","MCR","Schwartz","12-JUL-83","05-APR-26","0","SYSTEM","09-MAR-26 07.31.14.200424000 AM"
"24544","FU-IR-96008","2952028373","ND","Ramos","12-JUL-83","05-APR-26","0","SYSTEM","28-AUG-25 10.36.23.202672000 AM"
"24545","XP-IQ-90055","2805465061","MCR","Martin","12-JUL-83","05-APR-26","0","SYSTEM","24-JUN-26 07.22.11.205060000 PM"
"24546","IU-KO-33899","1189288222","DEA","Thompson","12-JUL-83","05-APR-26","0","SYSTEM","08-DEC-25 12.56.58.207073000 AM"
"24547","ZJ-EQ-33121","2862509082","MCR","Evans","12-JUL-83","05-APR-26","0","SYSTEM","25-OCT-25 03.39.10.210136000 AM"
"24548","OE-PX-73752","1718591039","MCR","Gonzalez","12-JUL-83","05-APR-26","0","SYSTEM","14-JAN-26 08.14.45.212596000 PM"
"24549","HH-PQ-72459","2381403957","MCR","Byrd","12-JUL-83","05-APR-26","0","SYSTEM","04-FEB-26 10.34.07.216657000 AM"
"24550","TW-BD-97865","1541312231","DEA","Gordon","12-JUL-83","05-APR-26","0","SYSTEM","15-APR-26 06.18.19.221241000 AM"
"24551","VN-SU-83353","1005121805","NPI","Mccarthy","12-JUL-83","05-APR-26","0","SYSTEM","19-JUL-26 03.23.11.226496000 PM"
"24552","MH-OY-90155","1505917553","ND","White","12-JUL-83","05-APR-26","0","SYSTEM","10-APR-26 06.54.23.230040000 PM"
"24553","HA-GT-04856","2646218513","DEA","Green","12-JUL-83","05-APR-26","0","SYSTEM","10-JUL-26 04.57.00.233086000 AM"
"24554","JS-PO-50664","1867702387","ND","Garcia","12-JUL-83","05-APR-26","0","SYSTEM","22-DEC-25 12.43.03.236686000 AM"
