"p_rpt_ln_sn_err_sk","p_sn_prov_id","p_sn_nam","p_sn_sanc_dt","p_sn_sanc_state","p_sn_sanc_lic_num","p_sn_sanc_rsn","p_sn_sanc_terms","p_sn_sanc_fraud_ind","p_sn_sanc_lic_loss_ind","p_sn_error_msg","p_sn_prcs_dt","l_hibernate_ver_num","g_aud_add_user_id","g_aud_add_ts"
"32317","164510","Mercy Medical Center","02-JUL-10","FL","NY-MD-44847","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","22-MAR-26 06.08.02.330858000 AM"
"32318","164511","Centura Physicians Group","02-AUG-09","FL","IL-MD-42300","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","01-AUG-25 02.42.39.330858000 PM"
"32319","164512","Sanford Medical Center","25-APR-09","FL","FL-MD-56765","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","13-FEB-26 08.22.36.331867000 AM"
"32320","164513","Sanford Lab Services","05-OCT-11","FL","IL-MD-44656","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","19-APR-26 04.27.52.331867000 PM"
"32321","164514","St. Jude Dialysis Center","22-JAN-10","FL","PA-MD-57251","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","09-MAY-26 05.01.28.331867000 PM"
"32322","164515","St. Jude Physicians Group","05-APR-09","FL","NC-MD-28253","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","16-JUN-26 12.42.57.331867000 AM"
"32323","164516","Mayo Clinic Lab Services","19-MAY-09","FL","MI-MD-57143","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","30-APR-26 10.22.39.331867000 PM"
"32324","164517","Sanford Health System","11-SEP-09","FL","TX-MD-30126","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","15-AUG-25 01.12.31.331867000 PM"
"32325","164518","Mayo Clinic Health System","23-FEB-10","FL","NC-MD-36291","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","25-OCT-25 08.41.57.331867000 PM"
"32326","164519","Centura Lab Services","30-JUN-12","FL","FL-MD-67877","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","09-MAR-26 10.04.04.331867000 PM"
"32327","164520","Sanford Physicians Group","10-MAY-12","FL","MI-MD-88293","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","25-SEP-25 04.18.05.331867000 PM"
"32328","164521","Mayo Clinic Physicians Group","06-JUL-09","FL","FL-MD-28167","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","12-APR-26 03.25.22.331867000 PM"
"32329","164522","Valley Care Specialty Clinic","14-SEP-09","FL","OH-MD-77721","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","15-JUL-26 08.07.35.331867000 AM"
"32330","164523","Trinity Medical Center","08-NOV-11","FL","OH-MD-86042","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","30-MAY-26 07.13.42.331867000 AM"
"32331","164524","Sanford Hospital","22-APR-09","FL","NY-MD-32133","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","25-JUN-26 12.43.44.331867000 AM"
"32332","164525","Valley Care Medical Center","15-MAY-12","FL","ND-MD-88639","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","20-AUG-25 10.45.53.333156000 PM"
"32333","164526","Methodist Medical Center","27-DEC-11","FL","NY-MD-60887","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","24-NOV-25 02.15.33.333156000 AM"
"32334","164527","Mayo Clinic Hospital","29-JAN-11","FL","NY-MD-64083","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","07-DEC-25 12.50.37.333156000 PM"
"32335","164528","Midwest Physicians Group","19-JUN-09","FL","CA-MD-45480","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","24-JUL-25 02.56.24.333156000 AM"
"32336","164529","St. Jude Medical Center","15-SEP-12","FL","IL-MD-10147","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","28-OCT-25 04.15.35.333156000 PM"
"32337","164530","Trinity Physicians Group","15-JUL-09","FL","PA-MD-69771","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","25-FEB-26 09.05.34.333156000 PM"
"32338","164531","Valley Care Lab Services","21-SEP-12","FL","GA-MD-13489","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","04-FEB-26 03.58.48.333156000 AM"
"32339","164532","Kaiser Dialysis Center","02-OCT-12","FL","OH-MD-71343","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","05-MAY-26 04.35.39.333156000 PM"
"32340","164533","Mayo Clinic Dialysis Center","21-DEC-10","FL","ND-MD-32562","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","02-JAN-26 01.09.56.333156000 AM"
"32341","164534","Kaiser Medical Center","08-MAY-10","FL","TX-MD-52361","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","21-SEP-25 01.22.59.333156000 PM"
"32342","164535","Methodist Lab Services","16-MAR-10","FL","MI-MD-17698","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","18-OCT-25 12.10.00.334149000 PM"
"32343","164536","Valley Care Dialysis Center","23-APR-10","FL","GA-MD-57430","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","09-MAR-26 03.52.24.334149000 PM"
"32344","164537","Sanford Dialysis Center","14-OCT-09","FL","TX-MD-70956","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","01-MAY-26 07.19.59.334149000 AM"
"32345","164538","Trinity Dialysis Center","18-MAR-09","FL","PA-MD-33705","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","01-FEB-26 07.40.32.334149000 AM"
"32346","164539","Mercy Physicians Group","29-NOV-10","FL","OH-MD-87844","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","03-APR-26 04.30.47.334149000 PM"
"32347","164540","Midwest Medical Center","14-JUN-11","FL","CA-MD-18011","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","17-APR-26 06.17.32.334149000 PM"
"32348","164541","Midwest Hospital","04-JUL-10","FL","CA-MD-37077","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","10-MAR-26 06.56.31.334149000 PM"
"32349","164542","Trinity Specialty Clinic","13-OCT-10","FL","NY-MD-96801","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","21-OCT-25 08.22.03.334149000 AM"
"32350","164543","Sanford Specialty Clinic","23-AUG-11","FL","PA-MD-25083","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","16-NOV-25 01.09.27.334149000 AM"
"32351","164544","Midwest Dialysis Center","14-AUG-10","FL","NC-MD-50167","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","02-DEC-25 08.56.43.334149000 PM"
"32352","164545","Centura Health System","03-FEB-09","FL","CA-MD-27083","Defaults and Dismissals","","","","ND-MSG-02-8365-PROVIDER ON SANC FILE","30-JUN-21","0","SYSTEM","22-NOV-25 10.51.56.334149000 PM"
